Bảo hành cũ,Giá máy cũ,Tên,Giá máy mới,Bảo hành mới,Tiết kiệm,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Bảo hành: 9 tháng chính hãng,15.990.000₫,Dell Inspiron 13 5310 i3 1125G4/8GB/256GB/Office H&S2019/Win10 (N3I3116W),Giá máy mới: 19.290.000₫,Thời gian bảo hành: 1 năm,3.300.000₫ (17%),Intel Core i3 Tiger Lake - 1125G4,4,8,2.00 GHz,3.7 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",13.3 inch,Full HD+ (1920 x 1200),60 Hz,"Chống chói Anti Glare
100% sRGB
Độ sáng 300 nits
WVA",,Card tích hợp - Intel UHD Graphics,High Definition (HD) Audio,"Jack tai nghe 3.5 mm
2 x Thunderbolt 4 USB-C
HDMI
1 x USB 3.2 (Always on)",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,HD webcam,Bảo mật vân tay,Có,Dài 296.78 mm - Rộng 210 mm - Dày 15.9 mm - Nặng 1.28 kg,Vỏ kim loại,"4-cell Li-ion, 54 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Bảo hành: 9 tháng chính hãng,15.990.000₫,Dell Inspiron 13 5310 i3 1125G4/8GB/256GB/Office H&S2019/Win10 (N3I3116W),Giá máy mới: 19.290.000₫,Thời gian bảo hành: 1 năm,3.300.000₫ (17%),Intel Core i3 Tiger Lake - 1125G4,4,8,2.00 GHz,3.7 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",13.3 inch,Full HD+ (1920 x 1200),60 Hz,"Chống chói Anti Glare
100% sRGB
Độ sáng 300 nits
WVA",,Card tích hợp - Intel UHD Graphics,High Definition (HD) Audio,"Jack tai nghe 3.5 mm
2 x Thunderbolt 4 USB-C
HDMI
1 x USB 3.2 (Always on)",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,HD webcam,Bảo mật vân tay,Có,Dài 296.78 mm - Rộng 210 mm - Dày 15.9 mm - Nặng 1.28 kg,Vỏ kim loại,"4-cell Li-ion, 54 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Bảo hành: 10 tháng chính hãng,15.980.000₫,Dell Vostro 3405 R5 3500U/8GB/512GB/Win10 (V4R53500U003W),Giá máy mới: 18.490.000₫,chính hãng laptop 1 năm,2.510.000₫ (13%),AMD Ryzen 5 - 3500U,4,8,2.10 GHz,3.7 GHz,,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2400 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB (2280) / 512GB (2230)) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",14 inch,Full HD (1920 x 1080),60 Hz,"220 nits
Chống chói Anti Glare
LED Backlit
WVA",,Card tích hợp - AMD Radeon Vega 8 Graphics,Realtek High Definition Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.7 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Bảo hành: 11 tháng chính hãng,16.310.000₫,Dell Vostro 3405 R5 3500U/8GB/512GB/Win10 (V4R53500U003W),Giá máy mới: 18.490.000₫,chính hãng laptop 1 năm,2.510.000₫ (13%),AMD Ryzen 5 - 3500U,4,8,2.10 GHz,3.7 GHz,,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2400 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB (2280) / 512GB (2230)) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",14 inch,Full HD (1920 x 1080),60 Hz,"220 nits
Chống chói Anti Glare
LED Backlit
WVA",,Card tích hợp - AMD Radeon Vega 8 Graphics,Realtek High Definition Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.7 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Bảo hành: 15.5 tháng chính hãng,15.890.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 20 tháng chính hãng,16.670.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 20 tháng chính hãng,16.670.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 20.5 tháng chính hãng,16.750.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 20.5 tháng chính hãng,16.750.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 20.5 tháng chính hãng,16.750.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 20.5 tháng chính hãng,16.750.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 21 tháng chính hãng,16.840.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 21 tháng chính hãng,16.840.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 21 tháng chính hãng,16.840.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 21.5 tháng chính hãng,16.930.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 21.5 tháng chính hãng,16.930.000₫,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),Giá máy mới: 19.290.000₫,chính hãng laptop 2 năm,3.400.000₫ (17%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Bảo hành: 9.5 tháng chính hãng,15.890.000₫,Dell Vostro 3400 i5 1135G7/8GB/256GB/Win10 (70234073),Giá máy mới: 18.590.000₫,Thời gian bảo hành: 1 năm,2.700.000₫ (14%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (2 khe),Từ 2666 MHz (Hãng công bố),16 GB,SSD 256 GB NVMe PCIe Hỗ trợ khe cắm HDD SATA,14 inch,Full HD (1920 x 1080),60 Hz,WVA,,Card tích hợp - Intel Iris Xe Graphics,Realtek High Definition Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.64 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Bảo hành: 9.5 tháng chính hãng,15.890.000₫,Dell Vostro 3400 i5 1135G7/8GB/256GB/Win10 (70234073),Giá máy mới: 18.590.000₫,Thời gian bảo hành: 1 năm,2.700.000₫ (14%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (2 khe),Từ 2666 MHz (Hãng công bố),16 GB,SSD 256 GB NVMe PCIe Hỗ trợ khe cắm HDD SATA,14 inch,Full HD (1920 x 1080),60 Hz,WVA,,Card tích hợp - Intel Iris Xe Graphics,Realtek High Definition Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.64 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Bảo hành: 9 tháng chính hãng,15.880.000₫,HP 240 G8 i5 1135G7/8GB/512GB/Win10 (3D3H7PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Stereo speakers,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.426 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Bảo hành: 9.5 tháng chính hãng,15.960.000₫,HP 240 G8 i5 1135G7/8GB/512GB/Win10 (3D3H7PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Stereo speakers,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.426 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Bảo hành: 9.5 tháng chính hãng,15.960.000₫,HP 240 G8 i5 1135G7/8GB/512GB/Win10 (3D3H7PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Stereo speakers,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.426 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Bảo hành: 9.5 tháng chính hãng,15.960.000₫,HP 240 G8 i5 1135G7/8GB/512GB/Win10 (3D3H7PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Stereo speakers,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.426 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Bảo hành: 9.5 tháng chính hãng,15.960.000₫,HP 240 G8 i5 1135G7/8GB/512GB/Win10 (3D3H7PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Stereo speakers,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.426 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Bảo hành: 9.5 tháng chính hãng,15.960.000₫,HP 240 G8 i5 1135G7/8GB/512GB/Win10 (3D3H7PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Stereo speakers,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.426 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Bảo hành: 9.5 tháng chính hãng,15.960.000₫,HP 240 G8 i5 1135G7/8GB/512GB/Win10 (3D3H7PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Stereo speakers,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.426 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
