brand,cpu_type,cpu_speed,max_cpu_speed,gpu_type,ram_type,ram,ram_speed,storage,screen_size,resolution,webcam,num_sd_slot,material,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,ppi,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,new_warranty,used_warranty,used_price
Asus,i7,>2.5,>4.2,NVIDIA GTX,DDR4,8.0,2933.0,512 GB,15.6,Full HD,,0,Nhựa,Windows,Smart AMP,5.1,Wi-Fi 6,2.3,25.8,275.0,360.0,2020.0,141.21199808219862,1,0,0,0,0,0,0,0,24,12.0,22500000.0
Asus,R9,>2.5,>4.2,NVIDIA RTX,DDR4,16.0,3200.0,1 TB,14.0,> Full HD,,0,Nhựa + kim loại,Windows,Dolby,5.1,Wi-Fi 6,1.7,19.9,220.0,324.0,2021.0,209.8006828649808,1,0,0,1,0,0,0,1,24,23.0,44540000.0
Asus,i5,>2.5,>4.2,NVIDIA RTX,DDR4,8.0,2933.0,512 GB,15.6,Full HD,HD,0,Nhựa + kim loại,Windows,DTS,5.2,Wi-Fi 6,2.3,24.9,256.0,359.0,2020.0,141.21199808219862,1,1,0,0,0,0,0,1,24,12.0,20580000.0
Asus,i7,1.8-2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa + kim loại,Windows,DTS,5.2,Wi-Fi 6,2.3,24.9,256.0,359.0,2021.0,141.21199808219862,1,1,0,0,0,0,0,1,24,20.5,24740000.0
Asus,i5,>2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa + kim loại,Windows,DTS,5.2,Wi-Fi 6,2.3,24.9,256.0,359.0,2021.0,141.21199808219862,1,0,0,0,0,0,0,1,24,22.0,22920000.0
Asus,i7,1.8-2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa + kim loại,Windows,DTS,5.2,Wi-Fi 6,2.3,24.9,256.0,359.0,2021.0,141.21199808219862,1,0,0,0,0,0,0,1,24,22.0,25130000.0
Asus,i5,1.8-2.5,>4.2,NVIDIA GTX,DDR4,8.0,2933.0,512 GB,15.6,Full HD,HD,0,Nhựa + kim loại,Windows,DTS,5.0,Wi-Fi 6,2.3,24.9,256.0,359.0,2020.0,141.21199808219862,1,0,0,0,0,0,0,1,24,20.5,19100000.0
Asus,i7,>2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,,0,Nhựa + kim loại,Windows,DTS,5.1,Wi-Fi 6,2.0,19.9,252.0,360.0,2021.0,141.21199808219862,1,1,0,0,0,0,0,1,24,20.5,26050000.0
Asus,i7,>2.5,>4.2,NVIDIA RTX,DDR4,16.0,3200.0,512 GB,15.6,Full HD,,0,Nhựa + kim loại,Windows,DTS,5.1,Wi-Fi 6,2.0,19.9,252.0,360.0,2021.0,141.21199808219862,1,1,0,0,0,0,0,1,24,20.0,28500000.0
Asus,i5,>2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,Others,Full HD,HD,0,Nhựa + kim loại,Windows,DTS,5.2,Wi-Fi 6,2.6,23.9,269.0,399.0,2021.0,127.33567457123112,1,1,0,0,0,0,0,1,24,12.0,20950000.0
Asus,i7,1.8-2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,Others,Full HD,HD,0,Nhựa + kim loại,Windows,DTS,5.2,Wi-Fi 6,2.6,23.9,269.0,399.0,2021.0,127.33567457123112,1,1,0,0,0,0,0,1,24,21.0,27930000.0
Asus,i3,1.8-2.5,3.5-4.2,Intel,DDR4,4.0,2666.0,512 GB,14.0,Full HD,HD,1,Nhựa,Windows,SonicMaster,4.2,Wi-Fi 5,1.406,19.5,212.0,322.0,2020.0,157.3505121487356,0,0,0,1,0,0,0,0,24,16.0,10840000.0
Asus,i3,1.8-2.5,3.5-4.2,Intel,DDR4,4.0,2400.0,512 GB,14.0,Full HD,HD,1,Nhựa,Windows,SonicMaster,4.1,Wi-Fi 5,1.5,19.0,212.0,322.0,2019.0,157.3505121487356,0,0,0,1,0,0,0,1,24,12.0,9890000.0
Asus,i3,>2.5,3.5-4.2,Intel,DDR4,8.0,3200.0,512 GB,14.0,Full HD,HD,1,Nhựa + kim loại,Windows,Harman,5.0,Wi-Fi 6,1.4,17.9,215.0,324.0,2021.0,157.3505121487356,0,0,0,1,0,0,0,1,24,21.5,14290000.0
Asus,i3,>2.5,3.5-4.2,Intel,DDR4,8.0,3200.0,512 GB,14.0,Full HD,HD,1,Nhựa + kim loại,Windows,Harman,5.0,Wi-Fi 6,1.4,17.9,215.0,324.0,2021.0,157.3505121487356,0,0,0,1,0,0,0,1,24,21.0,13960000.0
Asus,i5,1.8-2.5,3.5-4.2,Intel,DDR4,8.0,3200.0,512 GB,14.0,Full HD,HD,1,Nhựa + kim loại,Windows,Harman,5.0,Wi-Fi 6,1.4,17.9,215.0,324.0,2020.0,157.3505121487356,0,0,0,1,0,0,0,1,24,19.0,16580000.0
