brand,cpu_type,cpu_speed,max_cpu_speed,num_core,num_thread,cached_cpu,gpu_type,ram_type,ram,max_ram,ram_speed,storage,screen_size,resolution,scan_frequency,webcam,sd_slot,material,battery,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,saved_percent,saved_money,new_warranty,used_warranty,new_price,used_price,ppi
Acer,i3,2.2,3.4,,,,Intel,DDR4,4.0,20.0,2133.0,1024.0,14.0,1920 x 1080,,HD,SD,Kim loại,,Windows,TrueHarmony,4.0,Wi-Fi 5,1.5,18.7,228.0,323.0,,1,0,,1,0,0,0,0,22.0,,12,3.0,,9760000.0,157.3505121487356
Acer,i3,2.7,3.1,,,,Intel,DDR3L,4.0,,2133.0,128.0,12.0,2160 x 1440,,HD,Micro SD,Kim loại,,Windows,Stereo,4.0,Wi-Fi 5,0.92,9.6,201.8,292.9,2019.0,1,0,Có,1,0,0,0,0,,,12,3.0,,16600000.0,216.33307652783935
Apple,i5,1.8,2.9,,,,Intel,DDR3L,8.0,,1600.0,128.0,13.3,1440 x 900,,VGA,SDXC,Kim loại,,MacOS,Other,4.0,Wi-Fi 5,1.35,17.0,,,2017.0,1,1,,0,0,0,0,0,,,12,3.0,,16370000.0,127.67794013309688
Apple,i3,1.1,3.2,,,,Intel,LPDDR4X,8.0,,3733.0,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,5.0,Wi-Fi 5,1.29,16.1,212.4,304.1,2020.0,1,1,,1,0,0,0,0,18.0,,12,3.0,,23740000.0,226.98300468106115
Apple,i3,1.1,3.2,,,,Intel,LPDDR4X,8.0,,3733.0,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,5.0,Wi-Fi 5,1.29,16.1,212.4,304.1,2020.0,1,1,,1,0,0,0,0,,,12,3.0,,23030000.0,226.98300468106115
Apple,i5,1.1,3.5,,,,Intel,LPDDR4X,8.0,,3733.0,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,5.0,Wi-Fi 5,1.29,16.1,212.4,304.1,2020.0,1,1,,1,0,0,0,0,,,12,3.0,,25150000.0,226.98300468106115
Apple,M1,,,,,,Intel,,16.0,,,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,5.0,Wi-Fi 6,1.29,16.1,212.4,304.1,2020.0,1,1,,1,0,0,0,0,14.0,4930000.0,12,7.0,33990000.0,29060000.0,226.98300468106115
Apple,M1,,,,,,Intel,,16.0,,,512.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,5.0,Wi-Fi 6,1.29,16.1,212.4,304.1,2020.0,1,1,,1,0,0,0,0,12.0,4840000.0,12,9.5,39490000.0,34650000.0,226.98300468106115
Apple,M1,,,,,,Intel,,8.0,,,256.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,5.0,Wi-Fi 6,1.29,16.1,212.4,304.1,2020.0,1,1,,1,0,0,0,0,18.0,5250000.0,12,3.0,28990000.0,23740000.0,226.98300468106115
Apple,M1,,,,,,Intel,,8.0,,,512.0,13.3,2560 x 1600,,HD,,Kim loại,,MacOS,Other,5.0,Wi-Fi 6,1.29,16.1,212.4,304.1,2020.0,1,1,,1,0,0,0,0,15.0,5550000.0,12,5.5,34990000.0,29440000.0,226.98300468106115
